date,utm_source,utm_medium,utm_campaign,cost
2023-03-01T10:54:41,google,cpc,advanced_algorithms_series,212
2023-03-02T10:32:35,google,cpc,advanced_algorithms_series,252
2023-03-03T19:21:40,google,cpc,advanced_algorithms_series,202
2023-03-04T17:52:04,google,cpc,advanced_algorithms_series,223
2023-03-05T05:35:13,google,cpc,advanced_algorithms_series,265
2023-03-06T12:09:59,google,cpc,advanced_algorithms_series,108
2023-03-07T16:24:29,google,cpc,advanced_algorithms_series,165
2023-03-08T13:11:34,google,cpc,advanced_algorithms_series,155
2023-03-09T23:08:10,google,cpc,advanced_algorithms_series,124
2023-03-10T19:39:55,google,cpc,advanced_algorithms_series,276
2023-03-11T01:45:31,google,cpc,advanced_algorithms_series,105
2023-03-12T16:46:39,google,cpc,advanced_algorithms_series,239
2023-03-13T03:30:13,google,cpc,advanced_algorithms_series,283
2023-03-14T03:41:43,google,cpc,advanced_algorithms_series,100
2023-03-15T14:39:46,google,cpc,advanced_algorithms_series,115
2023-03-25T01:33:20,yandex,cpc,virtual_reality_workshop,293
2023-03-26T00:08:59,yandex,cpc,virtual_reality_workshop,298
2023-03-27T07:01:57,yandex,cpc,virtual_reality_workshop,121
2023-03-28T18:54:36,yandex,cpc,virtual_reality_workshop,203
2023-03-29T12:22:19,yandex,cpc,virtual_reality_workshop,246
2023-03-30T08:14:35,yandex,cpc,virtual_reality_workshop,215
2023-03-31T10:59:16,yandex,cpc,virtual_reality_workshop,121
2023-04-01T02:00:08,yandex,cpc,virtual_reality_workshop,166
2023-04-02T11:58:11,yandex,cpc,virtual_reality_workshop,215
2023-04-03T07:26:03,yandex,cpc,virtual_reality_workshop,268
2023-04-04T15:06:35,yandex,cpc,virtual_reality_workshop,252
2023-04-05T17:04:36,yandex,cpc,virtual_reality_workshop,287
2023-04-06T17:05:08,yandex,cpc,virtual_reality_workshop,178
2023-04-07T17:05:58,yandex,cpc,virtual_reality_workshop,118
2023-04-08T07:46:07,yandex,cpc,virtual_reality_workshop,260
2023-04-09T10:48:13,yandex,cpc,virtual_reality_workshop,224
2023-04-10T04:08:15,yandex,cpc,virtual_reality_workshop,216
2023-04-11T10:46:11,yandex,cpc,virtual_reality_workshop,263
2023-04-12T09:24:59,yandex,cpc,virtual_reality_workshop,164
2023-04-13T02:23:58,yandex,cpc,virtual_reality_workshop,132
2023-04-14T03:38:30,yandex,cpc,virtual_reality_workshop,245
2023-04-15T05:50:31,yandex,cpc,virtual_reality_workshop,278
2023-04-16T15:46:54,yandex,cpc,virtual_reality_workshop,251
2023-04-17T23:06:54,yandex,cpc,virtual_reality_workshop,166
2023-04-18T19:33:29,yandex,cpc,virtual_reality_workshop,289
2023-04-19T23:05:42,yandex,cpc,virtual_reality_workshop,167
2023-04-20T23:50:35,yandex,cpc,virtual_reality_workshop,177
2023-04-21T16:24:17,yandex,cpc,virtual_reality_workshop,121
2023-04-22T11:37:19,yandex,cpc,virtual_reality_workshop,143
2023-04-23T11:55:19,yandex,cpc,virtual_reality_workshop,287
2023-04-24T12:34:18,yandex,cpc,virtual_reality_workshop,201
2023-04-25T03:36:06,yandex,cpc,virtual_reality_workshop,182
2023-04-26T03:36:24,yandex,cpc,virtual_reality_workshop,108
2023-04-27T21:18:58,yandex,cpc,virtual_reality_workshop,233
2023-04-28T09:57:28,yandex,cpc,virtual_reality_workshop,135
2023-04-29T03:21:46,yandex,cpc,virtual_reality_workshop,135
2023-04-30T14:15:52,yandex,cpc,virtual_reality_workshop,276
2023-05-01T11:58:13,yandex,cpc,virtual_reality_workshop,217
2023-05-02T11:03:18,yandex,cpc,virtual_reality_workshop,176
2023-05-03T23:10:27,yandex,cpc,virtual_reality_workshop,271
2023-05-04T05:44:54,yandex,cpc,virtual_reality_workshop,269
2023-05-05T02:36:27,yandex,cpc,virtual_reality_workshop,270
2023-05-06T21:45:53,yandex,cpc,virtual_reality_workshop,194
2023-05-19T21:57:13,google,cpc,ui_ux_design_drive,178
2023-05-20T19:16:28,google,cpc,ui_ux_design_drive,137
2023-05-21T04:40:12,google,cpc,ui_ux_design_drive,260
2023-05-22T11:19:07,google,cpc,ui_ux_design_drive,144
2023-05-23T01:25:23,google,cpc,ui_ux_design_drive,245
2023-05-24T20:17:53,google,cpc,ui_ux_design_drive,265
2023-05-25T13:32:49,google,cpc,ui_ux_design_drive,242
2023-05-26T15:12:44,google,cpc,ui_ux_design_drive,298
2023-05-27T04:56:09,google,cpc,ui_ux_design_drive,245
2023-05-28T18:37:21,google,cpc,ui_ux_design_drive,287
2023-05-29T16:16:02,google,cpc,ui_ux_design_drive,184
2023-05-30T15:36:14,google,cpc,ui_ux_design_drive,176
2023-05-31T14:31:21,google,cpc,ui_ux_design_drive,150
2023-06-01T16:17:22,google,cpc,ui_ux_design_drive,145
2023-06-02T23:35:11,google,cpc,ui_ux_design_drive,118
2023-06-03T01:40:14,google,cpc,ui_ux_design_drive,161
2023-06-04T19:34:39,google,cpc,ui_ux_design_drive,261
2023-06-05T13:58:08,google,cpc,ui_ux_design_drive,143
2023-06-06T10:21:39,google,cpc,ui_ux_design_drive,141
2023-06-07T23:15:47,google,cpc,ui_ux_design_drive,118
2023-06-08T01:45:21,google,cpc,ui_ux_design_drive,145
2023-06-09T15:22:47,google,cpc,ui_ux_design_drive,166
2023-06-21T14:40:47,google,cpc,women_in_tech_symposium,174
2023-06-22T15:07:42,google,cpc,women_in_tech_symposium,105
2023-06-23T14:32:46,google,cpc,women_in_tech_symposium,114
2023-06-24T19:54:12,google,cpc,women_in_tech_symposium,109
2023-06-25T05:14:46,google,cpc,women_in_tech_symposium,143
2023-06-26T09:01:41,google,cpc,women_in_tech_symposium,289
2023-06-27T23:37:02,google,cpc,women_in_tech_symposium,227
2023-06-28T10:37:47,google,cpc,women_in_tech_symposium,117
2023-06-29T18:36:15,google,cpc,women_in_tech_symposium,193
2023-06-30T23:02:46,google,cpc,women_in_tech_symposium,102
2023-07-01T03:56:01,google,cpc,women_in_tech_symposium,200
2023-07-02T00:19:39,google,cpc,women_in_tech_symposium,178
2023-07-03T06:00:55,google,cpc,women_in_tech_symposium,268
2023-07-04T22:33:25,google,cpc,women_in_tech_symposium,266
2023-07-05T04:19:42,google,cpc,women_in_tech_symposium,261
2023-07-06T11:17:22,google,cpc,women_in_tech_symposium,252
2023-07-07T13:11:19,google,cpc,women_in_tech_symposium,243
2023-07-08T22:07:05,google,cpc,women_in_tech_symposium,171
2023-07-09T21:26:11,google,cpc,women_in_tech_symposium,197
2023-07-10T07:14:51,google,cpc,women_in_tech_symposium,235
2023-07-11T05:25:20,google,cpc,women_in_tech_symposium,277
2023-07-12T10:38:23,google,cpc,women_in_tech_symposium,285
2023-07-13T07:18:11,google,cpc,women_in_tech_symposium,171
2023-07-14T22:02:51,google,cpc,women_in_tech_symposium,157
2023-07-15T01:02:15,google,cpc,women_in_tech_symposium,103
2023-07-16T02:47:07,google,cpc,women_in_tech_symposium,118
2023-07-17T17:34:03,google,cpc,women_in_tech_symposium,159
2023-07-18T21:13:17,google,cpc,women_in_tech_symposium,167
2023-07-19T16:05:41,google,cpc,women_in_tech_symposium,157
2023-07-20T15:36:39,google,cpc,women_in_tech_symposium,155
2023-07-21T09:50:41,google,cpc,women_in_tech_symposium,131
2023-07-22T05:49:06,google,cpc,women_in_tech_symposium,261
2023-07-23T10:18:44,google,cpc,women_in_tech_symposium,200
2023-07-24T03:41:23,google,cpc,women_in_tech_symposium,217
2023-07-25T10:44:31,google,cpc,women_in_tech_symposium,265
2023-07-26T05:33:21,google,cpc,women_in_tech_symposium,113
2023-08-06T00:28:06,vk,social,intro_to_python_course,224
2023-08-07T10:08:20,vk,social,intro_to_python_course,120
2023-08-08T11:24:24,vk,social,intro_to_python_course,111
2023-08-09T04:34:40,vk,social,intro_to_python_course,149
2023-08-10T07:54:59,vk,social,intro_to_python_course,157
2023-08-11T15:32:22,vk,social,intro_to_python_course,187
2023-08-12T05:43:33,vk,social,intro_to_python_course,120
2023-08-13T09:18:14,vk,social,intro_to_python_course,250
2023-08-14T09:58:19,vk,social,intro_to_python_course,297
2023-08-15T12:07:38,vk,social,intro_to_python_course,276
2023-08-16T04:43:59,vk,social,intro_to_python_course,108
2023-08-17T16:59:46,vk,social,intro_to_python_course,271
2023-08-18T12:32:51,vk,social,intro_to_python_course,169
2023-08-19T17:57:42,vk,social,intro_to_python_course,196
2023-08-20T23:28:28,vk,social,intro_to_python_course,272
2023-08-21T04:09:36,vk,social,intro_to_python_course,137
2023-08-22T08:44:22,vk,social,intro_to_python_course,173
2023-08-23T09:31:20,vk,social,intro_to_python_course,101
2023-08-24T18:03:18,vk,social,intro_to_python_course,105
2023-08-25T03:14:56,vk,social,intro_to_python_course,206
2023-08-26T21:24:01,vk,social,intro_to_python_course,102
2023-08-27T07:38:27,vk,social,intro_to_python_course,222
2023-08-28T21:57:11,vk,social,intro_to_python_course,223
2023-08-29T18:58:40,vk,social,intro_to_python_course,190
2023-08-30T17:46:47,vk,social,intro_to_python_course,109
2023-08-31T20:20:28,vk,social,intro_to_python_course,215
2023-09-01T15:56:38,vk,social,intro_to_python_course,220
2023-09-02T05:27:28,vk,social,intro_to_python_course,136
2023-09-03T01:32:05,vk,social,intro_to_python_course,113
2023-09-04T16:32:12,vk,social,intro_to_python_course,188
2023-09-05T04:24:15,vk,social,intro_to_python_course,269
2023-09-06T13:07:01,vk,social,intro_to_python_course,237
2023-09-07T06:15:16,vk,social,intro_to_python_course,252
2023-09-08T00:47:36,vk,social,intro_to_python_course,173
2023-09-09T18:57:55,vk,social,intro_to_python_course,130
2023-09-10T16:10:14,vk,social,intro_to_python_course,261
2023-09-11T20:20:17,vk,social,intro_to_python_course,276
2023-09-12T04:46:23,vk,social,intro_to_python_course,168
2023-09-13T05:34:02,vk,social,intro_to_python_course,277
2023-09-14T18:25:13,vk,social,intro_to_python_course,221
2023-09-15T15:35:47,vk,social,intro_to_python_course,175
2023-09-16T05:30:26,vk,social,intro_to_python_course,224
2023-09-17T02:04:39,vk,social,intro_to_python_course,125
